DSAS_NAME,청구건수,청구단위_사기비중,이질병청구_고객수,고객단위_사기율,Lift_vs_base,chi2,p_value,유의(p<0.001)
요추부염좌,224,0.4777,158,0.4367,4.98,238.26,9.444337568228097e-54,★
무릎관절증,242,0.405,114,0.3772,4.3,116.59,3.5386023569806794e-27,★
요추염좌,204,0.3039,145,0.3448,3.93,117.58,2.1407067224413405e-27,★
요추의염좌및긴장,230,0.3478,153,0.3333,3.8,113.3,1.8585478734549326e-26,★
유방의악성신생물,187,0.4118,51,0.2941,3.36,24.73,6.586155172301553e-07,★
경요추염좌,207,0.2464,156,0.2628,3.0,58.14,2.4390268364053615e-14,★
유방암,304,0.3783,66,0.2576,2.94,21.83,2.9812681281007645e-06,★
고혈압,378,0.1376,146,0.137,1.56,3.88,0.048923752544098184,○
폐렴,230,0.1348,153,0.1307,1.49,3.06,0.08047133936606732,
치핵근본수술,346,0.1474,315,0.1302,1.49,6.7,0.009627306979507012,○
충수절제술,175,0.12,157,0.121,1.38,1.8,0.1792474037624853,
치핵,408,0.098,297,0.1178,1.34,3.07,0.07995827622126217,
자궁근종,213,0.0751,149,0.0872,1.0,0.0,1.0,
제왕절개,153,0.0784,105,0.0857,0.98,0.0,1.0,
위암,183,0.0874,54,0.0741,0.85,0.01,0.9107686618442836,
갑상선암,264,0.0568,122,0.0738,0.84,0.15,0.7018590304395528,
위장염및결장염,151,0.053,113,0.0708,0.81,0.22,0.6396802660727078,
급성충수염,376,0.0665,275,0.0691,0.79,0.98,0.3232474909994358,
제왕절개술,456,0.0614,343,0.0554,0.63,4.14,0.04199919245869015,○
자기부담금 추가지급(Auto),185,0.0919,110,0.0545,0.62,1.13,0.28835377327520617,
