feature,mean,median,p99,skew,p99/median(+1),scaler 선택
paym_mean,806606.9408321744,260000.0,10010295.029999984,28.31948364808174,38.50098665005129,RobustScaler
MAX_PRM,480776.2682543672,226592.0,3689640.6099999775,20.089532168271763,16.28311823401419,RobustScaler
MINCRDT,5.8389043639740015,6.0,10.0,20.044472962022017,1.4285714285714286,RobustScaler
acci2_otda_sum,6.208482142857143,0.0,114.0,12.897495275982479,114.0,RobustScaler
paym_max,2235090.2254017857,420000.0,36533358.87999933,12.805799862286017,86.98398070480626,RobustScaler
risky_hosp_visits,0.14888392857142857,0.0,4.0,11.89766146165961,4.0,RobustScaler
acci3_otda_sum,27.181294642857143,5.0,388.0199999999968,10.871276722125781,64.66999999999946,RobustScaler
paym_sum,4280382.037232143,860000.0,60405717.11999979,10.499716317993009,70.23912428008781,RobustScaler
acci1_otda_sum,12.951026785714285,0.0,182.0099999999984,9.557830561166824,182.0099999999984,RobustScaler
TOTALPREM,29982660.69089048,16224632.0,228455559.91999963,8.503250884846652,14.08078444178057,RobustScaler
vlid_otda_sum,46.34080357142857,14.0,536.049999999992,8.028075543524551,35.73666666666613,RobustScaler
risky_hosp_ratio,0.022261704951799337,0.0,0.75,6.453002293855608,0.75,RobustScaler
vlid_otda_max,14.244464285714285,8.0,97.0,5.325893055736896,10.777777777777779,RobustScaler
vlid_otda_mean,6.716757375067503,4.333333333333333,33.0,5.306317967883607,6.1875,RobustScaler
n_dsas,4.011517857142858,3.0,23.0,5.270760335466619,5.75,RobustScaler
C_ratio,0.03797576553832364,0.0,1.0,4.7260404435223515,1.0,RobustScaler
n_claim,5.3133928571428575,3.0,33.0,4.559226147695482,8.25,RobustScaler
n_hospital,2.3607142857142858,2.0,11.0,4.156146007451786,3.6666666666666665,RobustScaler
risky_hosp_flag,0.0525,0.0,1.0,4.013126577982168,1.0,RobustScaler
J_ratio,0.05648985223299064,0.0,1.0,3.8958373393948884,1.0,RobustScaler
N_ratio,0.06095903575074601,0.0,1.0,3.7046236554970036,1.0,RobustScaler
D_ratio,0.061165156165786834,0.0,1.0,3.671294207406593,1.0,RobustScaler
I_ratio,0.06312016062731884,0.0,1.0,3.5737455378179255,1.0,RobustScaler
RESI_COST,15914.413973214285,12222.0,70002.13999999966,3.4758984187429562,5.727083367422046,RobustScaler
K_ratio,0.09008809817504423,0.0,1.0,2.910693422387717,1.0,RobustScaler
M_ratio,0.11337436428746019,0.0,1.0,2.3784816108282514,1.0,RobustScaler
ETC_ratio,0.13977744053743163,0.0,1.0,2.113110214528404,1.0,RobustScaler
MAXCRDT,19.48065614360879,6.0,99.0,2.0479761542033934,14.142857142857142,RobustScaler
n_chapter,1.7699553571428572,1.0,6.0,1.8818635541765851,3.0,—
soft_injury_ratio,0.21054923386892183,0.0,1.0,1.3812410084300166,1.0,—
CHLD_CNT,0.7094905823870115,0.0,3.0,1.024678524599397,3.0,—
LTBN_CHLD_AGE,8.603730560496192,0.0,35.0,0.900917689517471,35.0,StandardScaler
chapter_entropy,0.36352379818728403,0.0,1.5498260458782016,0.8617286281278353,1.5498260458782016,StandardScaler
S_ratio,0.37705012668489796,0.16666666666666666,1.0,0.5160860890244218,0.8571428571428571,StandardScaler
JPBASE_HSHD_INCM,5198.2389502762435,4681.0,11862.530000000017,0.50287524431953,2.533645877829991,StandardScaler
MAX_PAYM_YM,200881.82543672237,200901.0,201606.0,0.2086061016280435,1.0035041960756985,StandardScaler
RCBASE_HSHD_INCM,4768.733883928571,4807.0,11525.089999999986,0.15602407349343497,2.3970653078202964,StandardScaler
CUST_INCM,2704.1848631615803,3432.0,6938.639999999999,-0.09432171296761142,2.02115933585785,StandardScaler
AGE,44.73486607142857,46.0,76.0,-0.2504896929044795,1.6170212765957446,StandardScaler
CUST_RGST,198924.2506379876,200306.0,201310.0,-11.614137310153556,1.005007313773358,RobustScaler
