lr,lgbm,xgb,pr_auc
0.0,0.0,1.0,0.6555998191584927
0.0,0.05,0.95,0.6572432521780859
0.0,0.1,0.9,0.658696397628119
0.0,0.15,0.85,0.6599563979897207
0.0,0.2,0.8,0.6609168774581369
0.0,0.25,0.75,0.6618033186006534
0.0,0.3,0.7,0.6626527425616328
0.0,0.35,0.65,0.6633469807058181
0.0,0.4,0.6,0.6638283489465798
0.0,0.45,0.55,0.6641743524036645
0.0,0.5,0.5,0.6644779178983525
0.0,0.55,0.45,0.6647335247141384
0.0,0.6,0.4,0.6648772216713635
0.0,0.65,0.35,0.6647811211608531
0.0,0.7,0.3,0.6646779633697235
0.0,0.75,0.25,0.6643942544786401
0.0,0.8,0.2,0.6639385780822856
0.0,0.85,0.15,0.6634028910126005
0.0,0.9,0.1,0.6627199975480209
0.0,0.95,0.05,0.6618309854924825
0.0,1.0,0.0,0.6606928842364598
0.05,0.0,0.95,0.656696426984987
0.05,0.05,0.9,0.6583659977478321
0.05,0.1,0.85,0.6597532918037438
0.05,0.15,0.8,0.6610456830552761
0.05,0.2,0.75,0.6620520725524427
0.05,0.25,0.7,0.6628973562817069
0.05,0.3,0.65,0.6636409689608053
0.05,0.35,0.6,0.6641730752309333
0.05,0.4,0.55,0.6645897210764311
0.05,0.45,0.5,0.6649265857954431
0.05,0.5,0.45,0.6651358594783673
0.05,0.55,0.4,0.6652592491256284
0.05,0.6,0.35,0.6653634708569305
0.05,0.65,0.3,0.6652619723195183
0.05,0.7,0.25,0.6650706519598647
0.05,0.75,0.2,0.6646250729669221
0.05,0.8,0.15,0.6641113933254198
0.05,0.85,0.1,0.6634245279176282
0.05,0.9,0.05,0.6625284110078111
0.05,0.95,0.0,0.661436443210841
0.1,0.0,0.9,0.6572811148060036
0.1,0.05,0.85,0.6588916345603129
0.1,0.1,0.8,0.6602630260157872
0.1,0.15,0.75,0.6613862329872324
0.1,0.2,0.7,0.662376374837556
0.1,0.25,0.65,0.6631097635984204
0.1,0.3,0.6,0.6638270850521031
0.1,0.35,0.55,0.6643330582887358
0.1,0.4,0.5,0.6647867321621558
0.1,0.45,0.45,0.6650093571026957
0.1,0.5,0.4,0.6651440422281915
0.1,0.55,0.35,0.6652204552612542
0.1,0.6,0.3,0.6651199062403287
0.1,0.65,0.25,0.66494493628257
0.1,0.7,0.2,0.6646482304809862
0.1,0.75,0.15,0.664052169355066
0.1,0.8,0.1,0.663429580259747
0.1,0.85,0.05,0.6625413005396917
0.1,0.9,0.0,0.6614622646220059
0.15,0.0,0.85,0.6575398719093882
0.15,0.05,0.8,0.6591355817043222
0.15,0.1,0.75,0.6603670371809589
0.15,0.15,0.7,0.6615115842124444
0.15,0.2,0.65,0.6624225359462921
0.15,0.25,0.6,0.6631111669982411
0.15,0.3,0.55,0.6638253973790442
0.15,0.35,0.5,0.6643112827542356
0.15,0.4,0.45,0.6645672542165207
0.15,0.45,0.4,0.6646962290841567
0.15,0.5,0.35,0.6647364491260922
0.15,0.55,0.3,0.6647475849224795
0.15,0.6,0.25,0.6645816657253559
0.15,0.65,0.2,0.6642541455459382
0.15,0.7,0.15,0.663857034212474
0.15,0.75,0.1,0.6632118670752247
0.15,0.8,0.05,0.662386042666397
0.15,0.85,0.0,0.6613816929333032
0.2,0.0,0.8,0.6574449825922999
0.2,0.05,0.75,0.658924931440023
0.2,0.1,0.7,0.6601617010489403
0.2,0.15,0.65,0.6612292161556372
0.2,0.2,0.6,0.6620142246629135
0.2,0.25,0.55,0.6627547785898293
0.2,0.3,0.5,0.6632695390480691
0.2,0.35,0.45,0.6636709342347263
0.2,0.4,0.4,0.6639217435236586
0.2,0.45,0.35,0.6639885006616887
0.2,0.5,0.3,0.6640758515557407
0.2,0.55,0.25,0.6639733965702407
0.2,0.6,0.2,0.6637872798112734
0.2,0.65,0.15,0.6633826233479438
0.2,0.7,0.1,0.6627224890608596
0.2,0.75,0.05,0.6619188587566608
0.2,0.8,0.0,0.6609086701423016
0.25,0.0,0.75,0.6570730705308832
0.25,0.05,0.7,0.6585620592772343
0.25,0.1,0.65,0.6598190198971131
0.25,0.15,0.6,0.6607958038372467
0.25,0.2,0.55,0.6615625885818288
0.25,0.25,0.5,0.6622239222780505
0.25,0.3,0.45,0.6626680672383765
0.25,0.35,0.4,0.6629823632281174
0.25,0.4,0.35,0.6631961334773737
0.25,0.45,0.3,0.6632661827782883
0.25,0.5,0.25,0.6631769639219347
0.25,0.55,0.2,0.6630071839045111
0.25,0.6,0.15,0.6625747026624061
0.25,0.65,0.1,0.6620200512304992
0.25,0.7,0.05,0.6612382615204225
0.25,0.75,0.0,0.6602533474995617
0.3,0.0,0.7,0.6564014450233621
0.3,0.05,0.65,0.65788302459024
0.3,0.1,0.6,0.6591191198965848
0.3,0.15,0.55,0.6601520390508016
0.3,0.2,0.5,0.6608163268152745
0.3,0.25,0.45,0.6614073001005598
0.3,0.3,0.4,0.6618710054827035
0.3,0.35,0.35,0.66210335445871
0.3,0.4,0.3,0.6622174770683161
0.3,0.45,0.25,0.6621960780738325
0.3,0.5,0.2,0.6620547999222358
0.3,0.55,0.15,0.6616910759972867
0.3,0.6,0.1,0.6611658841416154
0.3,0.65,0.05,0.6604745879232525
0.3,0.7,0.0,0.6594680641802981
0.35,0.0,0.65,0.6556495867583236
0.35,0.05,0.6,0.6570287709498364
0.35,0.1,0.55,0.6582518743860786
0.35,0.15,0.5,0.6590835149919304
0.35,0.2,0.45,0.6597365713281491
0.35,0.25,0.4,0.6603021623353285
0.35,0.3,0.35,0.6607025109909849
0.35,0.35,0.3,0.6609044864494228
0.35,0.4,0.25,0.6609405029864498
0.35,0.45,0.2,0.6608676023705905
0.35,0.5,0.15,0.6605207401053118
0.35,0.55,0.1,0.6601027450941104
0.35,0.6,0.05,0.6593174702356025
0.35,0.65,0.0,0.658413473878377
0.4,0.0,0.6,0.6543846632148442
0.4,0.05,0.55,0.6557330685155216
0.4,0.1,0.5,0.6569336993825966
0.4,0.15,0.45,0.6577629600931371
0.4,0.2,0.4,0.6584338023049978
0.4,0.25,0.35,0.6589012531508286
0.4,0.3,0.3,0.65915798215595
0.4,0.35,0.25,0.6593140381650776
0.4,0.4,0.2,0.6592798047384055
0.4,0.45,0.15,0.6590088379247038
0.4,0.5,0.1,0.6585356924862815
0.4,0.55,0.05,0.6578575044252649
0.4,0.6,0.0,0.6570214760792975
0.45,0.0,0.55,0.6527343592691129
0.45,0.05,0.5,0.6541584737034492
0.45,0.1,0.45,0.6552625236379722
0.45,0.15,0.4,0.6561531177956887
0.45,0.2,0.35,0.6567399224357383
0.45,0.25,0.3,0.6570825130572788
0.45,0.3,0.25,0.6573598896634006
0.45,0.35,0.2,0.6573588510996307
0.45,0.4,0.15,0.6571724710678376
0.45,0.45,0.1,0.6567578598888993
0.45,0.5,0.05,0.6560144006609914
0.45,0.55,0.0,0.6552085004545487
0.5,0.0,0.5,0.6506859687497683
0.5,0.05,0.45,0.6520680714832272
0.5,0.1,0.4,0.6531989609934713
0.5,0.15,0.35,0.6539092702537058
0.5,0.2,0.3,0.6544766195378062
0.5,0.25,0.25,0.654771441820176
0.5,0.3,0.2,0.6549313041555019
0.5,0.35,0.15,0.6549347086873564
0.5,0.4,0.1,0.6545587430421512
0.5,0.45,0.05,0.6539386120847211
0.5,0.5,0.0,0.6530226310665875
0.55,0.0,0.45,0.6481398348288554
0.55,0.05,0.4,0.6494497231242784
0.55,0.1,0.35,0.650531639323412
0.55,0.15,0.3,0.6513616528303228
0.55,0.2,0.25,0.65180757411993
0.55,0.25,0.2,0.6520085663397401
0.55,0.3,0.15,0.6521157333253432
0.55,0.35,0.1,0.6517888566472289
0.55,0.4,0.05,0.6512656620306763
0.55,0.45,-0.0,0.6504353426135925
0.6,0.0,0.4,0.6450811181249398
0.6,0.05,0.35,0.646490121669676
0.6,0.1,0.3,0.6473795395952964
0.6,0.15,0.25,0.6480981579433287
0.6,0.2,0.2,0.6484876712232304
0.6,0.25,0.15,0.6485727918437982
0.6,0.3,0.1,0.6484816878323658
0.6,0.35,0.05,0.6479556734638704
0.6,0.4,0.0,0.647110569704971
0.65,0.0,0.35,0.6414751902347534
0.65,0.05,0.3,0.6428296316180849
0.65,0.1,0.25,0.6435783394481528
0.65,0.15,0.2,0.6440885081415106
0.65,0.2,0.15,0.6444456822273029
0.65,0.25,0.1,0.6443912227237881
0.65,0.3,0.05,0.6439543507968662
0.65,0.35,0.0,0.6431608551699809
