챕터,라벨,청구건수,평균지급액,중앙값지급액,이챕터청구_고객수,고객단위_SIU율,Lift
S,손상/외상,38532,555693.0,240000.0,10916,0.1268,1.45
M,근골격계,17894,622645.0,360000.0,4342,0.2312,2.64
K,소화계,8988,411851.0,200000.0,3854,0.1295,1.48
I,순환계,7070,1499730.0,200000.0,2384,0.1254,1.43
C,신생물(암),6473,4004356.0,660000.0,1014,0.0779,0.89
N,비뇨생식기,5924,493461.0,190300.0,2657,0.1159,1.32
J,호흡계,5674,300593.0,140000.0,2506,0.1405,1.6
D,혈액/면역,5440,428211.0,200000.0,2364,0.0867,0.99
O,임신/출산,2594,222246.0,180000.0,1017,0.059,0.67
H,눈/귀,2303,446074.0,174774.0,975,0.0995,1.14
E,내분비·대사,1802,659174.0,273000.0,596,0.1477,1.68
R,증상/징후 NEC,1790,943786.0,130307.0,1124,0.1059,1.21
A,감염성·기생충,1722,449065.0,129630.0,905,0.1503,1.71
G,신경계,1055,485355.0,200000.0,508,0.1929,2.2
B,감염성·기생충,943,605723.0,240000.0,434,0.1613,1.84
T,손상/중독,884,2388095.0,120000.0,504,0.127,1.45
L,피부,539,241830.0,96000.0,370,0.1027,1.17
Q,선천기형,96,214882.0,21440.0,19,0.2105,2.4
X,외인,26,26954172.0,20037372.0,20,0.15,1.71
F,정신/행동,12,3836437.0,2550000.0,5,0.0,0.0
P,주산기,7,158253.0,100000.0,5,0.0,0.0
Z,보건서비스 접촉,4,80720.0,80595.0,4,0.0,0.0
V,외인,1,875000.0,875000.0,1,0.0,0.0
