number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.659053914141628,2026-05-12 14:23:13.872253,2026-05-12 14:24:32.358394,0 days 00:01:18.486141,0.5779972601681014,0.13125830316209655,62,425,97,3.3323645788192616e-08,0.6245760287469887,0.5780093202212182,COMPLETE
1,0.6638108108490594,2026-05-12 14:24:32.358540,2026-05-12 14:24:50.676775,0 days 00:00:18.318235,0.6061695553391381,0.06803900745073703,98,561,17,4.329370014459266e-07,4.4734294104626844e-07,0.9162213204002109,COMPLETE
2,0.666140565155026,2026-05-12 14:24:50.676885,2026-05-12 14:25:17.948454,0 days 00:00:27.271569,0.569746930326021,0.04141536110538598,32,382,63,4.258943089524393e-06,1.9826980964985924e-05,0.8059264473611898,COMPLETE
3,0.6618977005843227,2026-05-12 14:25:17.948591,2026-05-12 14:25:38.690791,0 days 00:00:20.742200,0.5232252063599989,0.0838375512850209,54,474,37,0.0029369981104377003,3.425445902633376e-07,0.7962072844310213,COMPLETE
4,0.6605314052091121,2026-05-12 14:25:38.690904,2026-05-12 14:26:11.207687,0 days 00:00:32.516783,0.5488360570031919,0.13060986669773664,82,239,124,0.01439120761572808,9.148975058772307e-05,0.6523068845866853,COMPLETE
5,0.6627420689062079,2026-05-12 14:26:11.207799,2026-05-12 14:26:17.105689,0 days 00:00:05.897890,0.831261142176991,0.03822726574649208,92,273,18,6.388511557344611e-06,0.0004793052550782129,0.6293899908000085,COMPLETE
6,0.6645400216504722,2026-05-12 14:26:17.105801,2026-05-12 14:27:21.798301,0 days 00:01:04.692500,0.9474136752138245,0.016497027917250065,79,528,124,0.002404915432737351,1.9809253750493887,0.9697494707820946,COMPLETE
7,0.6354035183708662,2026-05-12 14:27:21.798433,2026-05-12 14:27:28.021778,0 days 00:00:06.223345,0.6356745158869479,0.017001754132211097,36,253,20,0.287499823474079,1.6247252885719427e-05,0.6943386448447411,COMPLETE
8,0.66602153610705,2026-05-12 14:27:28.021891,2026-05-12 14:27:40.387083,0 days 00:00:12.365192,0.9934434683002586,0.043477055106943,82,368,30,0.08916674715636552,6.143857495033091e-07,0.5372753218398854,COMPLETE
9,0.6636899641617304,2026-05-12 14:27:40.387193,2026-05-12 14:28:02.243779,0 days 00:00:21.856586,0.5370223258670452,0.09100328259258599,74,203,94,1.683416412018213e-05,1.1036250149900698e-07,0.8856351733429728,COMPLETE
10,0.6627503392220484,2026-05-12 14:28:02.243900,2026-05-12 14:28:48.523541,0 days 00:00:46.279641,0.7215398984003512,0.010163732690779385,6,720,56,4.3444691085504035,0.010039786460205658,0.7846562513261506,COMPLETE
11,0.6638910535637277,2026-05-12 14:28:48.523657,2026-05-12 14:29:12.882070,0 days 00:00:24.358413,0.9512435350517157,0.03900730648793648,30,373,59,2.8557889225697404e-05,1.574367227995052e-08,0.535874097293578,COMPLETE
12,0.6648552843376774,2026-05-12 14:29:12.882181,2026-05-12 14:29:32.431873,0 days 00:00:19.549692,0.844768300560321,0.0396728359547794,31,386,45,0.10130492013778519,6.827542478149601e-06,0.7459094211331471,COMPLETE
13,0.666279898854711,2026-05-12 14:29:32.431982,2026-05-12 14:30:27.348321,0 days 00:00:54.916339,0.7075508050168335,0.02658439781641019,17,621,80,0.00037978489061093844,0.0027672071321678303,0.8271301476236614,COMPLETE
