variable,decile,fraud_rate,n,n_fraud
paym_sum,1.0,0.009704027171276079,2061.0,20.0
paym_sum,2.0,0.016982047549733138,2061.0,35.0
paym_sum,3.0,0.021359223300970873,2060.0,44.0
paym_sum,4.0,0.03056768558951965,2061.0,63.0
paym_sum,5.0,0.039301310043668124,2061.0,81.0
paym_sum,6.0,0.04951456310679612,2060.0,102.0
paym_sum,7.0,0.06501698204754973,2061.0,134.0
paym_sum,8.0,0.11941747572815534,2060.0,246.0
paym_sum,9.0,0.23532265890344492,2061.0,485.0
paym_sum,10.0,0.2891800097040272,2061.0,596.0
paym_max,1.0,0.012615235322658904,2061.0,26.0
paym_max,2.0,0.026686074721009218,2061.0,55.0
paym_max,3.0,0.03203883495145631,2060.0,66.0
paym_max,4.0,0.021348859776807377,2061.0,44.0
paym_max,5.0,0.0606501698204755,2061.0,125.0
paym_max,6.0,0.06553398058252427,2060.0,135.0
paym_max,7.0,0.13731198447355653,2061.0,283.0
paym_max,8.0,0.1407766990291262,2060.0,290.0
paym_max,9.0,0.22610383309073265,2061.0,466.0
paym_max,10.0,0.15332362930616206,2061.0,316.0
n_claim,1.0,0.025230470645317808,2061.0,52.0
n_claim,2.0,0.025715672003881612,2061.0,53.0
n_claim,3.0,0.03446601941747573,2060.0,71.0
n_claim,4.0,0.009218825812712276,2061.0,19.0
n_claim,5.0,0.0611353711790393,2061.0,126.0
n_claim,6.0,0.04854368932038835,2060.0,100.0
n_claim,7.0,0.06356137797185832,2061.0,131.0
n_claim,8.0,0.08932038834951456,2060.0,184.0
n_claim,9.0,0.1489568170790878,2061.0,307.0
n_claim,10.0,0.37020863658418246,2061.0,763.0
n_hospital,1.0,0.03153808830664726,2061.0,65.0
n_hospital,2.0,0.023289665211062592,2061.0,48.0
n_hospital,3.0,0.02912621359223301,2060.0,60.0
n_hospital,4.0,0.009218825812712276,2061.0,19.0
n_hospital,5.0,0.046094129063561376,2061.0,95.0
n_hospital,6.0,0.06359223300970873,2060.0,131.0
n_hospital,7.0,0.033478893740902474,2061.0,69.0
n_hospital,8.0,0.11165048543689321,2060.0,230.0
n_hospital,9.0,0.12663755458515283,2061.0,261.0
n_hospital,10.0,0.4017467248908297,2061.0,828.0
vlid_otda_sum,1.0,0.01455604075691412,2061.0,30.0
vlid_otda_sum,2.0,0.015041242115477924,2061.0,31.0
vlid_otda_sum,3.0,0.00825242718446602,2060.0,17.0
vlid_otda_sum,4.0,0.003396409509946628,2061.0,7.0
vlid_otda_sum,5.0,0.023774866569626393,2061.0,49.0
vlid_otda_sum,6.0,0.025728155339805825,2060.0,53.0
vlid_otda_sum,7.0,0.060164968461911696,2061.0,124.0
vlid_otda_sum,8.0,0.08640776699029126,2060.0,178.0
vlid_otda_sum,9.0,0.170790878214459,2061.0,352.0
vlid_otda_sum,10.0,0.4682193110140708,2061.0,965.0
risky_hosp_visits,1.0,0.09267345948568656,2061.0,191.0
risky_hosp_visits,2.0,0.08102862688015526,2061.0,167.0
risky_hosp_visits,3.0,0.08300970873786408,2060.0,171.0
risky_hosp_visits,4.0,0.08733624454148471,2061.0,180.0
risky_hosp_visits,5.0,0.10334788937409024,2061.0,213.0
risky_hosp_visits,6.0,0.08058252427184466,2060.0,166.0
risky_hosp_visits,7.0,0.08879184861717612,2061.0,183.0
risky_hosp_visits,8.0,0.04174757281553398,2060.0,86.0
risky_hosp_visits,9.0,0.056768558951965066,2061.0,117.0
risky_hosp_visits,10.0,0.16108685104318293,2061.0,332.0
